+-------+-----+------+-----+-----+-----+--------+-------------------------------------------------------------------------+-------+--------+---------+-------+-------+-------+--------+--------+-----------+------------+--------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                   URI                                   |  MIN  |  MAX   |   SUM   |  AVG  |  P90  |  P95  |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-------------------------------------------------------------------------+-------+--------+---------+-------+-------+-------+--------+--------+-----------+------------+--------------+------------+
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /index.html                                                             | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  0.000 |   479.000 |    479.000 |      479.000 |    479.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /js/app.3a4ec98c.js                                                     | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  0.000 | 33294.000 |  33294.000 |    33294.000 |  33294.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /css/app.83b4c321.css                                                   | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  4868.000 |   4868.000 |     4868.000 |   4868.000 |
|     4 |   0 |    0 |   0 |   4 |   0 | POST   | /api/organizer/competition/83780159-d473-4c9a-8193-7f2e4f9b8f12/score   | 0.008 |  0.008 |   0.008 | 0.002 | 0.008 | 0.008 |  0.008 |  0.003 |    39.000 |     62.000 |      179.000 |     44.750 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /api/organizer/competitions                                             | 0.004 |  0.004 |   0.004 | 0.004 | 0.004 | 0.004 |  0.004 |  0.000 |   205.000 |    205.000 |      205.000 |    205.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/b672b52f-6c75-4132-8d49-4422390edf44/finish  | 0.004 |  0.004 |   0.004 | 0.004 | 0.004 | 0.004 |  0.004 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
|     1 |   0 |    0 |   0 |   1 |   0 | GET    | /api/player/competition/83780159-d473-4c9a-8193-7f2e4f9b8f12/ranking    | 0.004 |  0.004 |   0.004 | 0.004 | 0.004 | 0.004 |  0.004 |  0.000 |    39.000 |     39.000 |       39.000 |     39.000 |
|     1 |   0 |    0 |   0 |   1 |   0 | POST   | /api/organizer/competition/[0-9a-f]+/score                              | 0.004 |  0.004 |   0.004 | 0.004 | 0.004 | 0.004 |  0.004 |  0.000 |    39.000 |     39.000 |       39.000 |     39.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/organizer/competition/95c65a2f-4406-4800-9a4a-db5f80c870de/finish  | 0.004 |  0.004 |   0.004 | 0.004 | 0.004 | 0.004 |  0.004 |  0.000 |    21.000 |     21.000 |       21.000 |     21.000 |
