+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+-------+-------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN  |  MAX   |   SUM    |  AVG  |  P90  |  P95  |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+-------+-------+--------+--------+-----------+------------+--------------+-----------+
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /api/organizer/competitions                  | 0.000 |  0.000 |    0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  0.000 |   177.000 |    177.000 |      177.000 |   177.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /index.html                                  | 0.000 |  0.000 |    0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  0.000 |   479.000 |    479.000 |      479.000 |   479.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /js/app.3a4ec98c.js                          | 0.000 |  0.000 |    0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  0.000 | 33294.000 |  33294.000 |    33294.000 | 33294.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /css/app.83b4c321.css                        | 0.000 |  0.000 |    0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  4868.000 |   4868.000 |     4868.000 |  4868.000 |
|    53 |   0 |   53 |   0 |   0 |   0 | GET    | /api/organizer/players                       | 0.004 |  0.064 |    0.532 | 0.010 | 0.028 | 0.040 |  0.064 |  0.014 |  2458.000 | 602067.000 |  2085884.000 | 39356.302 |
|   256 |   0 |  240 |   0 |  16 |   0 | GET    | /api/player/competitions                     | 0.004 |  0.168 |    5.024 | 0.020 | 0.048 | 0.088 |  0.140 |  0.027 |    39.000 |   3435.000 |   368919.000 |  1441.090 |
|    71 |   0 |   70 |   0 |   1 |   0 | POST   | /api/organizer/competitions/add              | 0.004 |  0.080 |    1.416 | 0.020 | 0.032 | 0.048 |  0.080 |  0.013 |    39.000 |    192.000 |    11597.000 |   163.338 |
|    19 |   0 |   18 |   0 |   1 |   0 | POST   | /api/organizer/player/[0-9a-f]+/disqualified | 0.008 |  0.128 |    0.404 | 0.021 | 0.100 | 0.128 |  0.128 |  0.032 |    39.000 |    165.000 |     2860.000 |   150.526 |
|    67 |   0 |   66 |   0 |   1 |   0 | POST   | /api/organizer/competition/[0-9a-f]+/finish  | 0.008 |  0.444 |    1.768 | 0.026 | 0.044 | 0.068 |  0.444 |  0.055 |    21.000 |     39.000 |     1425.000 |    21.269 |
|  2757 |   0 | 2741 |   0 |  16 |   0 | GET    | /api/player/player/[0-9a-f]+                 | 0.004 |  1.072 |   79.968 | 0.029 | 0.056 | 0.080 |  0.512 |  0.087 |    39.000 |    315.000 |   744412.000 |   270.008 |
|    12 |   0 |    7 |   0 |   5 |   0 | POST   | /api/admin/tenants/add                       | 0.004 |  0.104 |    0.560 | 0.047 | 0.100 | 0.104 |  0.104 |  0.040 |    39.000 |    190.000 |     1477.000 |   123.083 |
|    45 |   0 |   43 |   0 |   2 |   0 | GET    | /api/organizer/billing                       | 0.004 | 11.280 |   18.444 | 0.410 | 0.696 | 0.948 | 11.280 |  1.660 |     0.000 |   7347.000 |   116790.000 |  2595.333 |
|    13 |   0 |   13 |   0 |   0 |   0 | POST   | /api/organizer/players/add                   | 0.316 |  2.128 |    9.684 | 0.745 | 0.980 | 2.128 |  2.128 |  0.446 | 12150.000 |  25596.000 |   255695.000 | 19668.846 |
|  1774 |   0 | 1707 |   0 |  67 |   0 | GET    | /api/player/competition/[0-9a-f]+/ranking    | 0.004 | 10.708 | 1720.352 | 0.970 | 2.764 | 4.032 |  9.020 |  1.615 |     0.000 |  14769.000 | 19369397.000 | 10918.488 |
|    93 |   0 |   86 |   0 |   7 |   0 | POST   | /api/organizer/competition/[0-9a-f]+/score   | 0.004 |  8.736 |   98.868 | 1.063 | 2.296 | 3.712 |  8.736 |  1.268 |     0.000 |     62.000 |     4835.000 |    51.989 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /initialize                                  | 2.752 |  2.752 |    2.752 | 2.752 | 2.752 | 2.752 |  2.752 |  0.000 |    55.000 |     55.000 |       55.000 |    55.000 |
|    32 |   0 |   30 |   0 |   2 |   0 | GET    | /api/admin/tenants/billing                   | 1.376 | 16.992 |   93.696 | 2.928 | 4.572 | 5.160 | 16.992 |  2.776 |     0.000 |   1568.000 |    43959.000 |  1373.719 |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------+-------+--------+----------+-------+-------+-------+--------+--------+-----------+------------+--------------+-----------+
